class_weight,criterion,max_depth,min_samples_leaf,min_samples_split,n_estimators,f1_macro_cv,precision_macro_cv,recall_macro_cv,roc_auc_cv,train_accuracy
balanced,gini,20.0,2,5,100,0.772321743997024,0.8141879722418279,0.7612748565797347,0.9281499545877383,0.9639175257731959
balanced,gini,,2,5,100,0.772321743997024,0.8141879722418279,0.7612748565797347,0.9281499545877383,0.9639175257731959
,gini,20.0,2,5,300,0.7722649594879485,0.8137661704200874,0.760083412522437,0.9288030518860108,0.9621993127147767
,gini,,2,5,300,0.7722649594879485,0.8137661704200874,0.760083412522437,0.9288030518860108,0.9621993127147767
,entropy,10.0,2,2,100,0.7722426242273731,0.8107968028086467,0.7626597860134445,0.9273523873890209,0.9742268041237113
balanced,gini,10.0,1,2,300,0.7721319372902778,0.8197125110654759,0.75711408510189,0.9298499318805084,0.993127147766323
,entropy,10.0,1,2,100,0.7719536658133503,0.8166166493526333,0.7625745257452574,0.9286720480267358,0.9965635738831615
,gini,10.0,2,2,300,0.7719049537994792,0.8137071074417411,0.761235174040052,0.9291813462453433,0.9639175257731959
,gini,20.0,1,2,300,0.7716597317539998,0.8115717977452984,0.7604018407067188,0.9283238634357298,1.0
,gini,,1,2,300,0.7716597317539998,0.8115717977452984,0.7604018407067188,0.9282354768993443,1.0
,gini,10.0,1,10,100,0.7713889492747287,0.8183201466665956,0.7584980466687784,0.9288558641508476,0.9536082474226805
,gini,10.0,2,10,200,0.7712056628894935,0.8090363453704947,0.7624062928940978,0.9293130562401055,0.9398625429553265
balanced,gini,20.0,2,10,200,0.7711951348731807,0.8175830702241947,0.7584777214655264,0.9289461040958187,0.9450171821305842
balanced,gini,,2,10,200,0.7711951348731807,0.8175830702241947,0.7584777214655264,0.9289461040958187,0.9450171821305842
,gini,20.0,2,2,200,0.7710665089753226,0.8135460470572126,0.7601696406574456,0.9283175495805226,0.9725085910652921
,gini,,2,2,200,0.7710665089753226,0.8135460470572126,0.7601696406574456,0.9283008990556147,0.9725085910652921
balanced,gini,10.0,2,5,100,0.7708875168327011,0.813857496271817,0.7584573962622744,0.9331588708252341,0.9604810996563574
balanced,entropy,10.0,1,10,200,0.770865840701473,0.8144849543334856,0.7573259599479112,0.929484037648062,0.9553264604810997
balanced,gini,,2,5,300,0.7707463823390895,0.8151965173522037,0.7570937598986379,0.9285601015632217,0.9639175257731959
balanced,gini,20.0,2,5,300,0.7707463823390895,0.8151965173522037,0.7570937598986379,0.9285601015632217,0.9639175257731959
,gini,10.0,2,5,200,0.7703711590303787,0.8141355226544281,0.7570734346953859,0.928490996792523,0.9570446735395189
balanced,entropy,,1,2,100,0.7703478927643903,0.8177952548985703,0.754634410305142,0.9239224810171056,1.0
balanced,entropy,20.0,1,2,100,0.7703478927643903,0.8177952548985703,0.754634410305142,0.9239224810171056,1.0
balanced,gini,20.0,2,10,300,0.7702830235026213,0.8137693819001027,0.7584980466687784,0.9292595898689049,0.9415807560137457
balanced,gini,,2,10,300,0.7702830235026213,0.8137693819001027,0.7584980466687784,0.9292595898689049,0.9415807560137457
,gini,20.0,2,2,100,0.7702396881168562,0.8133649815549395,0.7582251962130011,0.9278701354199793,0.9707903780068728
,gini,,2,2,100,0.7702396881168562,0.8133649815549395,0.7582251962130011,0.9277411863548599,0.9707903780068728
balanced,gini,,2,2,300,0.7695389506867284,0.8140831862139075,0.7562807517685567,0.9295083743871139,0.9690721649484536
balanced,gini,20.0,2,2,300,0.7695389506867284,0.8140831862139075,0.7562807517685567,0.9295083743871139,0.9690721649484536
balanced,gini,10.0,2,2,300,0.7690650207670962,0.8126317680356848,0.7567654770703551,0.9315762028006984,0.9673539518900344
,gini,10.0,2,5,300,0.7690187842602824,0.8127669830622043,0.7562604265653047,0.9287157332892637,0.9587628865979382
balanced,gini,10.0,2,10,300,0.7689557399269573,0.8080470285594179,0.7596091577798896,0.9327466368668299,0.9329896907216495
,gini,20.0,1,10,200,0.7688825512211536,0.8094714292358113,0.7584573962622744,0.9304811380788589,0.9570446735395189
