set,colsample_bytree,gamma,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,subsample,f1_macro_cv,precision_macro_cv,recall_macro_cv,roc_auc_cv,train_accuracy
303,1.0,1.0,0.05,3,200,1.0,2.0,0.8,0.7894032967111295,0.8094626042192463,0.7899623411818534,0.9330954544754562,0.9089347079037801
301,1.0,1.0,0.05,3,200,1.0,1.0,0.8,0.7894032967111295,0.8094626042192463,0.7899623411818534,0.9337769709509229,0.915807560137457
345,1.0,1.0,0.1,3,200,0.0,1.0,0.8,0.7893644807488398,0.8100008905222278,0.787997571534157,0.9310162580599128,0.936426116838488
51,0.8,0.0,0.1,3,100,0.0,2.0,0.8,0.7893352108112192,0.8098688918827157,0.789149333051772,0.9297696984870724,0.9347079037800687
213,1.0,0.0,0.05,3,300,1.0,1.0,0.8,0.7893077330721324,0.8038798889103766,0.7910833069369654,0.9275778194183942,0.9450171821305842
55,0.8,0.0,0.1,3,100,1.0,2.0,0.8,0.7892386407146491,0.8064604834743074,0.7919271108295499,0.9308173891149829,0.9278350515463918
351,1.0,1.0,0.1,3,200,1.0,2.0,0.8,0.7892203609504527,0.8063970692197167,0.7919271108295499,0.9337381652918714,0.9175257731958762
189,0.8,1.0,0.1,6,300,1.0,1.0,0.8,0.7891932530636432,0.8085471694252924,0.7899623411818534,0.9324106304578057,0.929553264604811
247,1.0,0.0,0.1,3,100,1.0,2.0,0.8,0.7890860180020226,0.8054359317467428,0.7919067856262979,0.9325399711942474,0.929553264604811
151,0.8,1.0,0.1,3,100,1.0,2.0,0.8,0.7889537096964528,0.8095945104487134,0.7899623411818534,0.9335674870962434,0.9072164948453608
117,0.8,1.0,0.05,3,300,1.0,1.0,0.8,0.7889030391080214,0.8092174827718376,0.789149333051772,0.9340853117905026,0.9123711340206185
223,1.0,0.0,0.05,6,100,1.0,2.0,0.8,0.7887849937061365,0.8190748829762617,0.7855120015485869,0.925751759767244,0.9604810996563574
343,1.0,1.0,0.1,3,100,1.0,2.0,0.8,0.7886343573435852,0.8047857735386537,0.7919271108295499,0.9344765060839343,0.9140893470790378
317,1.0,1.0,0.05,6,100,1.0,1.0,0.8,0.788529980000074,0.8137405127812105,0.7852197937563792,0.9308922029815999,0.9243986254295533
311,1.0,1.0,0.05,3,300,1.0,2.0,0.8,0.7881197849013019,0.8083067529898657,0.789149333051772,0.9337409824959277,0.9089347079037801
203,1.0,0.0,0.05,3,200,0.0,2.0,0.8,0.7880281338449129,0.8098414718809457,0.787997571534157,0.9311084043001087,0.9398625429553265
206,1.0,0.0,0.05,3,200,1.0,1.0,1.0,0.7880093145504796,0.8073845702807472,0.78912900784852,0.9306118614302188,0.9312714776632303
208,1.0,0.0,0.05,3,200,1.0,2.0,1.0,0.7880093145504796,0.8073845702807472,0.78912900784852,0.9311366870339018,0.9278350515463918
246,1.0,0.0,0.1,3,100,1.0,1.0,1.0,0.7880093145504796,0.8073845702807472,0.78912900784852,0.9309471088329186,0.9312714776632303
97,0.8,1.0,0.05,3,100,0.0,1.0,0.8,0.7877843174256932,0.8070885380451536,0.7891493330517722,0.9315709931787894,0.9003436426116839
12,0.8,0.0,0.05,3,200,0.0,2.0,1.0,0.7877813704079013,0.8054487895949665,0.789108682645268,0.9307779415770568,0.929553264604811
121,0.8,1.0,0.05,6,100,0.0,1.0,0.8,0.7877382207410281,0.8227550652963085,0.7832550241086828,0.9310524292906577,0.9398625429553265
273,1.0,0.0,0.1,6,200,0.0,1.0,0.8,0.7877320015783008,0.8233675345501033,0.7719373174251223,0.9222692288297868,1.0
11,0.8,0.0,0.05,3,200,0.0,2.0,0.8,0.7877294063875432,0.8084857893073263,0.785993119346778,0.9307858612623754,0.9347079037800687
204,1.0,0.0,0.05,3,200,0.0,2.0,1.0,0.7876749419779434,0.8045325445933557,0.789108682645268,0.9288011365401859,0.9329896907216495
15,0.8,0.0,0.05,3,200,1.0,2.0,0.8,0.7875711778503913,0.8067658303937145,0.78912900784852,0.9323580114139457,0.9261168384879725
116,0.8,1.0,0.05,3,300,0.0,2.0,1.0,0.78743699907584,0.8123991680860426,0.7852197937563791,0.9311933177202791,0.9123711340206185
108,0.8,1.0,0.05,3,200,0.0,2.0,1.0,0.78743699907584,0.8123991680860426,0.7852197937563791,0.9311933177202791,0.9123711340206185
156,0.8,1.0,0.1,3,200,0.0,2.0,1.0,0.7874142148425296,0.8123462580331327,0.7852197937563792,0.93187040446954,0.9209621993127147
164,0.8,1.0,0.1,3,300,0.0,2.0,1.0,0.7874142148425296,0.8123462580331327,0.7852197937563792,0.93187040446954,0.9209621993127147
148,0.8,1.0,0.1,3,100,0.0,2.0,1.0,0.7874142148425296,0.8123462580331327,0.7852197937563792,0.9320571173660805,0.9209621993127147
107,0.8,1.0,0.05,3,200,0.0,2.0,0.8,0.7870726840659337,0.8083317063014125,0.7852197937563791,0.9328863603837355,0.9209621993127147
163,0.8,1.0,0.1,3,300,0.0,2.0,0.8,0.7869797700095511,0.8097828063986601,0.7860531270897124,0.9326661417335111,0.9347079037800687
