ccp_alpha,class_weight,criterion,max_depth,min_samples_leaf,min_samples_split,f1_macro_cv,precision_macro_cv,recall_macro_cv,roc_auc_cv,train_accuracy
0.0,balanced,entropy,10,8,10,0.7294591921379519,0.7300471063292819,0.7418176538908247,0.8769707830506231,0.9029680365296804
0.0,balanced,entropy,10,8,20,0.7264293348033288,0.7257147254684032,0.7392973286875726,0.8808045918308742,0.9006849315068494
0.001,,gini,3,2,5,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,,gini,3,2,10,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,,gini,3,2,20,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,,gini,3,4,5,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,,gini,3,4,10,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,,gini,3,4,20,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,,gini,3,8,5,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,,gini,3,8,10,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,,gini,3,8,20,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,,gini,5,2,5,0.7475410182655754,0.7603262598036405,0.7498325590398761,0.8702702033012046,0.8687214611872146
0.001,,gini,5,2,10,0.7466790885944141,0.7597376233887716,0.7490195509097948,0.8689663631351434,0.8687214611872146
0.001,,gini,5,2,20,0.7479499278999575,0.7664840850261517,0.7457471931862176,0.8754403304555607,0.8641552511415526
0.001,,gini,5,4,5,0.7511512511530432,0.7658306577308074,0.7506455671699575,0.8659116816853818,0.8664383561643836
0.001,,gini,5,4,10,0.7536039673991671,0.768309843898309,0.7531455671699574,0.8665275912021897,0.8664383561643836
0.001,,gini,5,4,20,0.7452487947134147,0.7626012377314987,0.7441008517228029,0.869554767531073,0.8641552511415526
0.001,,gini,5,8,5,0.750119685523889,0.7696080108656422,0.7465398761130468,0.8718005469230278,0.8641552511415526
0.001,,gini,5,8,10,0.750119685523889,0.7696080108656422,0.7465398761130468,0.8718005469230278,0.8641552511415526
0.001,,gini,5,8,20,0.7485615065782244,0.7675990744023956,0.7449138598528842,0.8721793323780875,0.8641552511415526
0.001,,gini,7,2,5,0.747663298566462,0.7589141838643155,0.7513975996902825,0.8448511733375383,0.9143835616438356
0.001,,gini,7,2,10,0.7513202402253457,0.7636694672159299,0.7547106078203639,0.8579935098070013,0.9075342465753424
0.001,,gini,7,2,20,0.7436146455998256,0.7453420649922424,0.7490398761130469,0.8634619090936562,0.8904109589041096
0.001,,gini,7,4,5,0.742225867469877,0.7645201779658312,0.7466753774680605,0.8458549202016157,0.9006849315068494
0.001,,gini,7,4,10,0.740698718155137,0.7610339889460622,0.7475493612078978,0.8487513320959919,0.9006849315068494
0.001,,gini,7,4,20,0.7271203906112025,0.7302940233015631,0.7355100658149438,0.8493420870941731,0.889269406392694
0.001,,gini,7,8,5,0.7311173942393022,0.7353657609485532,0.7354694154084398,0.8594394167537327,0.8926940639269406
0.001,,gini,7,8,10,0.7311173942393022,0.7353657609485532,0.7354694154084398,0.8594394167537327,0.8926940639269406
0.001,,gini,7,8,20,0.7308356999302055,0.7358027331832238,0.7338433991482772,0.8606195013777089,0.8926940639269406
0.001,,gini,10,2,5,0.7470209323163124,0.7701829530193005,0.7507404181184669,0.8452439214595566,0.9463470319634704
0.001,,gini,10,2,10,0.7475935420191411,0.7762062218982845,0.7452661633759196,0.8497025143399781,0.9269406392694064
0.001,,gini,10,2,20,0.7396926499955809,0.7414353441056919,0.744121176926055,0.866091214879517,0.8904109589041096
0.001,,gini,10,4,5,0.7409851211454539,0.7649555944898616,0.7411401471157568,0.8425877042314946,0.9178082191780822
0.001,,gini,10,4,10,0.7460656718238388,0.7725908654966254,0.7460994967092527,0.8460322950972848,0.9166666666666666
0.001,,gini,10,4,20,0.7263090624144157,0.7301665205459369,0.7339246999612854,0.8486115800395657,0.889269406392694
0.001,,gini,10,8,5,0.7319288834368531,0.7362668961298772,0.7363637243515292,0.8592646893145071,0.8972602739726028
0.001,,gini,10,8,10,0.7319288834368531,0.7362668961298772,0.7363637243515292,0.8592646893145071,0.8972602739726028
0.001,,gini,10,8,20,0.7302505517241249,0.7346518206340062,0.7347377080913665,0.8601385624938732,0.8926940639269406
0.001,,entropy,3,2,5,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.001,,entropy,3,2,10,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.001,,entropy,3,2,20,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.001,,entropy,3,4,5,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.001,,entropy,3,4,10,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.001,,entropy,3,4,20,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.001,,entropy,3,8,5,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.001,,entropy,3,8,10,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.001,,entropy,3,8,20,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.001,,entropy,5,2,5,0.7444733550516137,0.7537188356156819,0.7543379790940767,0.8796820680791069,0.8641552511415526
0.001,,entropy,5,2,10,0.748018331357035,0.7599910011981923,0.7559843205574913,0.8815649297151481,0.863013698630137
0.001,,entropy,5,2,20,0.7416508430139399,0.7481836971787177,0.7519192799070848,0.8800468544033582,0.8573059360730594
0.001,,entropy,5,4,5,0.742721142536733,0.7555135772268866,0.7511265969802555,0.8816133567687569,0.8595890410958904
0.001,,entropy,5,4,10,0.742721142536733,0.7555135772268866,0.7511265969802555,0.8815164927916846,0.8595890410958904
0.001,,entropy,5,4,20,0.7399925148921971,0.7464905062589542,0.7502932636469222,0.8793350663536426,0.8561643835616438
0.001,,entropy,5,8,5,0.7438939367846142,0.7513174462355907,0.7527932636469221,0.8846139647203636,0.8561643835616438
0.001,,entropy,5,8,10,0.7438939367846142,0.7513174462355907,0.7527932636469221,0.8846139647203636,0.8561643835616438
0.001,,entropy,5,8,20,0.7408965956237016,0.7468174802826751,0.7511672473867596,0.8834987449583733,0.8561643835616438
0.001,,entropy,7,2,5,0.7361851846744167,0.740971282966645,0.7437011227255129,0.8550170276217381,0.9178082191780822
0.001,,entropy,7,2,10,0.7279998867083147,0.7316647451497368,0.7357065427797135,0.8589930996122126,0.91324200913242
0.001,,entropy,7,2,20,0.7164242140200537,0.7178667533028618,0.7275358110723965,0.8725699331955102,0.8995433789954338
0.001,,entropy,7,4,5,0.7275963484568877,0.7451285322073036,0.7277129307007356,0.8618951157456154,0.906392694063927
0.001,,entropy,7,4,10,0.7247478741455285,0.7355590799030722,0.7308284939992256,0.8603877406228329,0.906392694063927
0.001,,entropy,7,4,20,0.7123446811580317,0.712704375449422,0.7250967866821526,0.8698466171673574,0.8972602739726028
0.001,,entropy,7,8,5,0.7314592139839315,0.7321204952728035,0.7411062717770035,0.8819816483214364,0.8938356164383562
0.001,,entropy,7,8,10,0.7314592139839315,0.7321204952728035,0.7411062717770035,0.8819816483214364,0.8938356164383562
0.001,,entropy,7,8,20,0.7296193848640837,0.7309020391058644,0.7402322880371661,0.8820071215199908,0.8938356164383562
0.001,,entropy,10,2,5,0.7177281773554492,0.7337342586586508,0.7134591560201317,0.837998667054537,0.9611872146118722
0.001,,entropy,10,2,10,0.7286239291171475,0.7386266979520971,0.729310878823074,0.8593240808279796,0.9497716894977168
